start_station,end_station,occurrences
Ringnes Park,Bislett Stadion,193
Frognerstranda,Aker Brygge,193
Helga Helgesens plass,Sukkerbiten,193
Fagerheimgata,Vaterlandsparken,193
Vestkanttorvet,Filipstadveien,193
Hammersborg Torg,Vippetangen vest,193
Vaar Frelsers gravlund,Vaar Frelsers gravlund,192
Vippetangen vest,Fred Olsens gate,192
Birkelunden,Toeyen skole,192
Bislett Stadion,Bjerregaards gate,192
Birkelunden,Sukkerbiten,192
Kontraskjaeret,Tjuvholmen,192
Bankplassen,Soendre gate,192
Norsk Folkemuseum,Frogner plass,192
Sukkerbiten,Akerselvallmenningen,191
Dokkveien,Bjoervika,191
Ringnes Park,Landstads gate,191
Frogner Stadion,Thune,191
Botanisk Hage soer,Sukkerbiten,191
Bjerregaards gate,Alexander Kiellands Plass,191
Sofienbergparken nord,Sofienbergparken nord,191
Munkedamsveien,Tjuvholmen,191
Schous plass trikkestopp,Schous plass trikkestopp,191
Aker Brygge,Soendre gate,191
Moelleparken,Helga Helgesens plass,191
Kvaernerbyen,Kvaernerbyen,190
Vulkan,Alexander Kiellands Plass,190
Sofienbergparken nord,Schous plass,190
Jens Bjelkes Gate,Aker Brygge,190
Professor Aschehougs plass,Professor Aschehougs plass,190
Skillebekk,Bjoervika,189
Fred Olsens gate,Sukkerbiten,189
The Hub,Sukkerbiten,189
Toeyen skole,Jakob kirke,189
Trondheimsveien,Torggata,189
Soendre gate,Skraaninga,189
Schous plass,Sentrum Scene,189
Aker Brygge,Sjoesiden ved fontenen,188
Bislett Stadion,Saga Kino,188
Helga Helgesens plass,Hausmanns bru,188
Skoeyen,Tjuvholmen,188
Sommerfrydhagen,Kvaernerbyen,187
Botanisk hage soer-vest,Toeyen skole,187
Hydroparken,Frognerstranda,187
Botanisk Hage soer,Schous plass trikkestopp,187
Hammersborg Torg,Hammersborg Torg,187
AHO,Kirkeristen,186
Skillebekk,Huitfeldts gate,186
Fredensborg,Alexander Kiellands Plass,186
Sofienbergparken nordvest,Botanisk Hage soer,186
Soendre gate,The Hub,186
Botanisk Hage soer,Kirkeristen,186
Sukkerbiten,Professor Aschehougs plass,185
Paléhaven,Rostockgata,185
Kirkegata 15,Huitfeldts gate,185
Paléhaven,Oslo Hospital,185
Hoffsveien,Skoeyen,185
Dokkveien,St. Olavs gate,185
Torggata,Jens Bjelkes Gate,185
Marcus Thranes gate,Alexander Kiellands Plass,185
Sukkerbiten,Torggata,185
Nordre gate,Botanisk Hage soer,185
Jess Carlsens gate,Jernbanetorget,185
Hasle Torg,Loerenporten,185
Enerhaugen,Annette Thommessens Plass,185
Holbergs plass,Saga Kino,185
Fagerheimgata,Schous plass,185
Lindern,Ringnes Park,185
Norsk Folkemuseum,Huk 1,185
Alexander Kiellands Plass,St. Olavs gate,184
Sofienbergparken nord,Kirkeristen,184
Henrik Wergelands allé,Majorstuen,184
Torggata,Botanisk Hage soer,184
Skillebekk,Filipstadveien,184
Botanisk Hage soer,The Hub,184
Fagerheimgata,Olaf Ryes plass,184
Helga Helgesens plass,AHO,183
Olaf Ryes plass,Toeyenbekken,183
Toeyenbekken,AHO,183
Vippetangen vest,Paléhaven,183
Akersgata,Vaar Frelsers gravlund,183
Vulkan,Spikersuppa Vest,183
Aker Brygge,Toeyenbekken,183
Jordalgata,Helga Helgesens plass,182
Olav Kyrres plass,Skoeyen,182
Galgeberg,Bjoervika,182
Jernbanetorget,Jernbanetorget,182
Olaf Ryes plass,Akersgata,182
Tjuvholmen,Frogner plass,182
Jakob kirke,Skraaninga,182
Majorstua skole,Stensparken,181
Karenslyst allé,Majorstuveien,181
Gimle Kino,Gimle Kino,181
Botanisk Hage soer,Botanisk hage soer-vest,181
Kvaernerbyen,Aker Brygge,181
Helga Helgesens plass,Arkaden Soer,180
Sofienbergparken soer,Torggata,180
Ringnes Park,Botanisk Hage soer,180
Drammensveien,Drammensveien,180
Dokkveien,Rostockgata,179
Alexander Kiellands Plass,Helga Helgesens plass,179
Toeyen skole,Sofienbergparken soer,179
Fagerheimgata,Jakob kirke,179
Vulkan,Hammersborg Torg,179
Schous plass,Vaterlandsparken,179
Thomas Heftyes plass,Dokkveien,179
Ensjoe T-bane,Kvaernerbyen,179
Sofienbergparken soer,Aker Brygge,179
Paléhaven,Kvaernerbyen,179
Jernbanetorget,Jess Carlsens gate,179
Norsk Folkemuseum,Aker Brygge,179
St. Hanshaugen park vest,7. juni-plassen,179
Sofienbergparken nord,The Hub,178
Torggata,The Hub,178
Sofienbergparken nordvest,Toeyenbekken,178
Sirkustomta,Toeyenbekken,178
Gimle Kino,Aker Brygge,178
Helga Helgesens plass,Schous plass,178
Soendre gate,Sentrum Scene,178
Linaaes gate,Hammersborg Torg,178
Jernbanetorget,Vippetangen oest,178
Paléhaven,Aker Brygge,178
Frognerveien,Kirkeristen,178
Frognerstranda,Saga Kino,177
Parkveien,Jernbanetorget,177
Vulkan,Linaaes gate,177
Skillebekk,Bankplassen,177
Uranienborgveien,Henrik Ibsens gate,177
Bjerregaards gate,Ringnes Park,177
Storo Storsenter,Marcus Thranes gate,177
Sofienberggata,Toeyenbekken,177
Norsk Folkemuseum,Frognerstranda,177
Chr. Michelsens Gate,Ringnes Park,177
Sukkerbiten,The Hub,176
Ringnes Park,Hallings gate,176
Skillebekk,7. juni-plassen,176
Hammersborg Torg,Sjoesiden ved trappen,176
John Colletts plass,Sognsveien,176
Ringnes Park,Marcus Thranes gate,176
Sofienbergparken nordvest,Bjoervika,176
Bankplassen,Kirkeristen,175
Hans Nielsen Hauges plass,Ringnes Park,175
Jernbanetorget,Rostockgata,175
Soendre gate,Akersgata,175
Skillebekk,Oslo Handelsgymnasium,175
Ullevaal sykehus,Marcus Thranes gate,175
Salt,Sjoesiden ved trappen,175
Birkelunden,Kirkeristen,175
Toeyen skole,Moelleparken,175
Gimle Kino,Filipstadveien,174
Vaar Frelsers gravlund,Studenterlunden,174
Lakkegata,Sukkerbiten,174
Dyvekes bru,Helga Helgesens plass,174
Jernbanetorget,Munkegata,174
Bislettgata,Saga Kino,174
Bogstadveien,Bislettgata,174
Moelleparken,Moelleparken,174
Landstads gate,Aker Brygge,173
Majorstua skole,Elisenberg,173
Torggata,Helga Helgesens plass,173
Aker Brygge,Frogner plass,173
